expiry,entry,elm_time,cutoff_time
2027-05-20 15:30:00,2027-05-17 10:30:00,2027-05-19 15:15:00,2027-05-19 09:15:00
2027-05-27 15:30:00,2027-05-24 10:30:00,2027-05-26 15:15:00,2027-05-26 09:15:00
2027-06-03 15:30:00,2027-05-31 10:30:00,2027-06-02 15:15:00,2027-06-02 09:15:00
2027-06-10 15:30:00,2027-06-07 10:30:00,2027-06-09 15:15:00,2027-06-09 09:15:00
2027-06-17 15:30:00,2027-06-14 10:30:00,2027-06-16 15:15:00,2027-06-16 09:15:00
2027-06-24 15:30:00,2027-06-21 10:30:00,2027-06-23 15:15:00,2027-06-23 09:15:00
2027-07-01 15:30:00,2027-06-28 10:30:00,2027-06-30 15:15:00,2027-06-30 09:15:00
2027-07-08 15:30:00,2027-07-05 10:30:00,2027-07-07 15:15:00,2027-07-07 09:15:00
2027-07-15 15:30:00,2027-07-12 10:30:00,2027-07-14 15:15:00,2027-07-14 09:15:00
2027-07-22 15:30:00,2027-07-19 10:30:00,2027-07-21 15:15:00,2027-07-21 09:15:00
2027-07-29 15:30:00,2027-07-26 10:30:00,2027-07-28 15:15:00,2027-07-28 09:15:00
2027-08-05 15:30:00,2027-08-02 10:30:00,2027-08-04 15:15:00,2027-08-04 09:15:00
2027-08-12 15:30:00,2027-08-09 10:30:00,2027-08-11 15:15:00,2027-08-11 09:15:00
2027-08-19 15:30:00,2027-08-16 10:30:00,2027-08-18 15:15:00,2027-08-18 09:15:00
2027-08-26 15:30:00,2027-08-23 10:30:00,2027-08-25 15:15:00,2027-08-25 09:15:00
2027-09-02 15:30:00,2027-08-30 10:30:00,2027-09-01 15:15:00,2027-09-01 09:15:00
2027-09-09 15:30:00,2027-09-06 10:30:00,2027-09-08 15:15:00,2027-09-08 09:15:00
2027-09-16 15:30:00,2027-09-13 10:30:00,2027-09-15 15:15:00,2027-09-15 09:15:00
2027-09-23 15:30:00,2027-09-20 10:30:00,2027-09-22 15:15:00,2027-09-22 09:15:00
2027-09-30 15:30:00,2027-09-27 10:30:00,2027-09-29 15:15:00,2027-09-29 09:15:00
2027-10-07 15:30:00,2027-10-04 10:30:00,2027-10-06 15:15:00,2027-10-06 09:15:00
2027-10-14 15:30:00,2027-10-11 10:30:00,2027-10-13 15:15:00,2027-10-13 09:15:00
2027-10-21 15:30:00,2027-10-18 10:30:00,2027-10-20 15:15:00,2027-10-20 09:15:00
2027-10-28 15:30:00,2027-10-25 10:30:00,2027-10-27 15:15:00,2027-10-27 09:15:00
2027-11-04 15:30:00,2027-11-01 10:30:00,2027-11-03 15:15:00,2027-11-03 09:15:00
2027-11-11 15:30:00,2027-11-08 10:30:00,2027-11-10 15:15:00,2027-11-10 09:15:00
2027-11-18 15:30:00,2027-11-15 10:30:00,2027-11-17 15:15:00,2027-11-17 09:15:00
2027-11-25 15:30:00,2027-11-22 10:30:00,2027-11-24 15:15:00,2027-11-24 09:15:00
2027-12-02 15:30:00,2027-11-29 10:30:00,2027-12-01 15:15:00,2027-12-01 09:15:00
2027-12-09 15:30:00,2027-12-06 10:30:00,2027-12-08 15:15:00,2027-12-08 09:15:00
2027-12-16 15:30:00,2027-12-13 10:30:00,2027-12-15 15:15:00,2027-12-15 09:15:00
2027-12-23 15:30:00,2027-12-20 10:30:00,2027-12-22 15:15:00,2027-12-22 09:15:00
2027-12-30 15:30:00,2027-12-27 10:30:00,2027-12-29 15:15:00,2027-12-29 09:15:00
2028-01-06 15:30:00,2028-01-03 10:30:00,2028-01-05 15:15:00,2028-01-05 09:15:00
2028-01-13 15:30:00,2028-01-10 10:30:00,2028-01-12 15:15:00,2028-01-12 09:15:00
2028-01-20 15:30:00,2028-01-17 10:30:00,2028-01-19 15:15:00,2028-01-19 09:15:00
2028-01-27 15:30:00,2028-01-24 10:30:00,2028-01-26 15:15:00,2028-01-26 09:15:00
2028-02-03 15:30:00,2028-01-31 10:30:00,2028-02-02 15:15:00,2028-02-02 09:15:00
2028-02-10 15:30:00,2028-02-07 10:30:00,2028-02-09 15:15:00,2028-02-09 09:15:00
2028-02-17 15:30:00,2028-02-14 10:30:00,2028-02-16 15:15:00,2028-02-16 09:15:00
2028-02-24 15:30:00,2028-02-21 10:30:00,2028-02-23 15:15:00,2028-02-23 09:15:00
2028-03-02 15:30:00,2028-02-28 10:30:00,2028-03-01 15:15:00,2028-03-01 09:15:00
2028-03-09 15:30:00,2028-03-06 10:30:00,2028-03-08 15:15:00,2028-03-08 09:15:00
2028-03-16 15:30:00,2028-03-13 10:30:00,2028-03-15 15:15:00,2028-03-15 09:15:00
2028-03-23 15:30:00,2028-03-20 10:30:00,2028-03-22 15:15:00,2028-03-22 09:15:00
